id,source,target
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1933
,1933,"Німврод: Маленька Катрін: Оповідання, № 19"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1931
,1931,"Німврод: Щастя за поворотом: Оповідання, № 32/33"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1927
,1927,"№1. Гасло: «Знак Зоро»: Жовтнева пригода: Оповідання, № 45"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1927
,1927,"№2. Гасло: «Мета виправдує засіб»: Батько: Оповідання, № 46"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1927
,1927,"№3. Девіз: «Хвали мене, моя губонько: Без: Оповідання, № 47"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1927
,1927,"№4. Девіз: «На конкурс»: Вороги: Оповідання, № 48"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1927
,1927,"№5. Девіз: «За Збруч!»: Людська злоба: Оповідання, № 49"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1927
,1927,"№6. Девіз: «Життя»: Манька: Оповідання, № 50"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1929
,1929,"Озеров Ол: Паростки: Оповідання, № 27"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1929
,1929,"Озеров Ол: Паростки: Оповідання, № 33"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1929
,1929,"Озеров Ол: Паростки: Оповідання, № 34"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1933
,1933,"Олесіч Я: Пашпорт: Новела, № 12"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1932
,1932,"Олійник, Михайло: До полустанку: [Вірш], № 04"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1932
,1932,"Олійник, Степан: Чепа: (Рибальське): [Вірш], № 17/18"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1930
,1930,"Орисіо, Теодор: В похід за буряком: [Вірш], № 10/11"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1930
,1930,"Орисіо, Теодор: Тисяча - першим: [Вірш], № 20"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1930
,1930,"Орлівна, Галина: Білий шейх: Оповідання, № 02"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1929
,1929,"Орлівна, Галина: В невідоме: Оповідання, № 25"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1929
,1929,"Орлівна, Галина: В пастку: Оповідання, № 14"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1930
,1930,"Орлівна, Галина: До нового поля: Оповідання, № 13"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1930
,1930,"Орлівна, Галина: До нового поля: Оповідання, № 18"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1929
,1929,"Орлівна, Галина: Махді: Оповідання, № 49/50"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1927
,1927,"Орлівна, Галина: Скарб діда Якова: Оповідання, № 32"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1933
,1933,"Орлівна, Галина: Очерет В. Заплив: [Вірш], № 10/11"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1933
,1933,"Орлівна, Галина: Матч: [Вірш], № 14/15"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1925
,1925,"Павлюк, Антін: [Поезії], № 06"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1925
,1925,"Павлюк, Антін: «Ти будь, - як вітер, радістю живою»: [Поезія], № 07"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1929
,1929,"Палійчук Ю: Гудок о УА: [Вірш], № 24"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1930
,1930,"Палійчук Ю: Трактор: [Вірш], № 21"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1932
,1932,"Панів, Андрій: Без меж: [Вірш], № 22"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1933
,1933,"Панів, Андрій: Ворошилов: Урив, з поеми, № 05"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Панів, Андрій: Дніпрельстан: [Вірш], № 21"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Панч, Петро: Верблюд: Оповідання, № 06"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1927
,1927,"Панч, Петро: Дипломатична місія: Урив, з повісті «Голубіешелони», № 45"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Панч, Петро: Клюква: Оповідання, № 15"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1925
,1925,"Панч, Петро: Перегони: Оповідання, № 08"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1932
,1932,"Панченко Мих: Війна починається: Урив, з повісті, № 20/21"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Панченко Мих: Сценарій «Тарас Шевченко»: Урив, з першої сер, № 05"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1925
,1925,"Педа, Панько: Безпритульний: [Вірш], № 22/23"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Первомайський Л. [А.]: Тринадцять років: 3 повісти «Земля обітована», № 21"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1929
,1929,"Первомайський Л. [А.]: Дід моріз: [Вірш], № 15"
,1980 - 1990,Ukraine. Literature in Ukranian
,1980 - 1990,Ukranian
,1980 - 1990,1980
,1980,"Петльований, Віталій: Комендант Сандо-мира: (Фрагм. з повісті), № 05"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1929
,1929,"Петровський Дм: Данило Данбас: Оповідання, № 30"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1929
,1929,"Петровський Дм: На Деніку: (1919 р.): Оповідання, № 29"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Пилипенко С: Броневик: Оповідання, № 13"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1927
,1927,"Пилипенко С: Друзі дітей: Оповідання, № 27"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1933
,1933,"Пилипенко С: Коропи: Оповідання, № 10/11"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1930
,1930,"Півоваров ??: Цукробуд:  [Вірш], № 09"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1927
,1927,"Плискунівський Гр: Жовтневі лави: [Вірш], № 47"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1927
,1927,"Плискунівський Гр: Осіннє: [Вірш], № 44"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1928
,1928,"Плискунівський Гр: «Шумлять вітри, акації гойдають...»: [Поезії], № 38"
,1990 - 2000,Ukraine. Literature in Ukranian
,1990 - 2000,Ukranian
,1990 - 2000,1999
,1999,"Плита, Ігор: Яблуницький перевал: [Вірш], № 04"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1932
,1932,"Плющій П: Помста: Урив, з роману, № 14/15"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1932
,1932,"Полторацький Ол: Республіка: Оповідання, № 22"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1925
,1925,"Полярний, Леонід: Кахівка: Оповідання, № 03"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1925
,1925,"Пономаренко В: Сонети вечірні: [Вірш], № 19"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1931
,1931,"Пример, Роман: «Еквівалент»: Урив, з п’єси, № 32/33"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1931
,1931,"Пример, Роман: Коногон: Урив, з вірша, № 10"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1925
,1925,"Проноза, Валерій [Валєр]: Після докладу: [Вірш], № 02"
,1980 - 1990,Ukraine. Literature in Ukranian
,1980 - 1990,Ukranian
,1980 - 1990,1984
,1984,"Проноза, Валерій [Валєр]: Сатири на теми американські: [Вірш], № 01"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1925
,1925,"Проноза, Валерій [Валєр]: Сюди, поети!, № 01"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1925
,1925,"Проноза, Валерій [Валєр]: Старі приказки на новий лад: [Вірші], № 01"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1925
,1925,"Проноза, Валерій [Валєр]: Штанячі докори: [Вірш], № 04"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1932
,1932,"Пронченко, Михайло: Баляда про «Фелі-цію» й «Раду»: [Вірш], № 04"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1925
,1925,"Проскурівна, Марія: Клопотна річечка і спорні береги: Оповідання, № 19"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1928
,1928,"Рабінович, Лібер: Еврею - колоністові: [Вірш], № 39"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1929
,1929,"Рабінович, Лібер: «Ненатле місто - велетень важкий...»: [Поезія], № 07"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1930
,1930,"Радій П: Тракторна колона: [Вірш], № 06"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1929
,1929,"Расова Р: Вокзал: [Вірш], № 42"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1934
,1934,"Рибак, Натан: Винахід: Оповідання, № 06"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1933
,1933,"Рибак, Натан: Вода: [Вірш], № 01"
,1990 - 2000,Ukraine. Literature in Ukranian
,1990 - 2000,Ukranian
,1990 - 2000,1996
,1996,"Рибчинський Юрій: Гімн олімпійців України, № 8/9"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1925
,1925,"Рильський, Максим: Діти: (3 олександрійських віршів), № 20"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Рильський, Максим: Епітафія: Із низки поезій «Нездійснені задуми», № 18"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Рильський, Максим: Із низки поезій «Нездійснені задуми»: Опівдні, № 16"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Рильський, Максим: Пролог до повісти, № 16"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Рильський, Максим: Провесна: [Вірш], № 01"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1932
,1932,"Роговик, Сергій: Баляда про жасмін: [Вірш], № 14/15"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1930
,1930,"Роховіч, Олександер: Наше місто: [Вірш], № 28/29"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1925
,1925,"Рудии, Панас: иповідання на конкурс: Гумореска, № 02"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1925
,1925,"Рудии, Панас: Циркуляр № 179231: (Жарт, а може, і трагедія в трьох діях з епілогом), № 03"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"С. Ч: Коли його закривають: Гумореска, № 01"
,1980 - 1990,Ukraine. Literature in Ukranian
,1980 - 1990,Ukranian
,1980 - 1990,1985
,1985,"Сабов, Олександр: Європейський час: Повість-есе, № 09"
,1980 - 1990,Ukraine. Literature in Ukranian
,1980 - 1990,Ukranian
,1980 - 1990,1985
,1985,"Сабов, Олександр: Європейський час: Повість-есе, № 09"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1925
,1925,"Савелов, Михайло: Сільська історія: Оповідання, № 13"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1933
,1933,"Сазонов М: Подарунок ударної: [Вірш], № 03"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Сайко М. «Золотушний жовтень кров’ю листу харка...»: [Поезія]: -, № 05"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Сайко М. «Золотушний жовтень кров’ю листу харка...»: [Поезія]: «Іду додому повз сельбудинок...»: [Поезія], № 03"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1927
,1927,"Самусь, Микола: Пімста: Оповідання, № 31"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1933
,1933,"Селіван, Лев: Слухайте коваля: (Пісня мотористів): [Вірш], № 10/11"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1933
,1933,"Семенко, Михайль: Джон і товариш Джекобсон: (Новела): [Вірш], № 14/15"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Семенко, Михайль: Ленінград: [Вірш], № 01"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Семенко, Михайль: Ленінград, № 09"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Семенко, Михайль: Океан: [Вірші], № 09"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1929
,1929,"Семенко, Михайль: Нічний Берлін: [Вірш], № 09"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1928
,1928,"Семенко, Михайль: Форт - Харків: [Поезія], № 51"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1930
,1930,"Семенко, Михайль: Херсон 1930: [Вірш], № 20"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1929
,1929,"Семенко, Михайль: Чорний Берлін: [Вірш], № 04"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1931
,1931,"Сенгалевіч, Маргарита: Викривлення партійної лінії не було: Оповідання, № 11/12"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Сенченко І: Ай-Петрі: [Вірш], № 16"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1934
,1934,"Сенченко І: Зустріч: Новела, № 07"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1928
,1928,"Сенченко І: Чортова Коса: (Із кн. «Моря і узбережжя»): Оповідання, № 27"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1929
,1929,"Серпенко О: Матч: Оповідання, № 17"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Серпокриленко О: Зустріч: Оповідання, № 17"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1932
,1932,"Сидельников М: Дніпроперекоп: Урив, [зоповід.], № 12"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1931
,1931,"Сілько М: До варстата: Оповідання, № 14/15"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1932
,1932,"Сіманцев Б: Про «народню артистку Ма-р’ю Петровну» та колгоспний базар: Фейлетон, № 16"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1928
,1928,"Скляренко, Семен: Азіатська культура: Оповідання, № 01"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1927
,1927,"Скляренко, Семен: Директор: Оповідання, № 38"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1928
,1928,"Скрипник, Лев: Як любили і вмирали: Оповідання, № 32"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1929
,1929,"Скуба, Микола: Зимова відозва : [Вірш], № 11"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1934
,1934,"Скуба, Микола: Комсомольська засівна: [Вірш], № 07"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1929
,1929,"Скуба, Микола: Льодолом: [Вірш], № 16"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1929
,1929,"Скуба, Микола: Свято врожаю: [Вірш], № 35"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Слісаренко Ол: Алхемік: Оповідання, № 04"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1925
,1925,"Слісаренко Ол: Вихор у затишку: Оповідання, № 06"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1925
,1925,"Слісаренко Ол: Канонір Душта: Оповідання, № 14"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Слісаренко Ол: Шість сотень: Оповідання, № 19"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1927
,1927,"Смілянський Л: Нові оселі: Оповідання, № 25"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1933
,1933,"Смолич Ю: І один негр: Новела, № 6/7"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1927
,1927,"Смолич Ю: Переможець: Оповідання, № 30"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1931
,1931,"Собко, Вадим: Вірш про роботу, № 10"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1931
,1931,"Собко, Вадим: Про туриста: [Вірш], № 14/15"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1931
,1931,"Собко, Вадим: Слово на прощання: [Вірш], № 26/27"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1930
,1930,"Собко, Вадим: Сто: [Вірш], № 22"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1932
,1932,"Сокіл, Василь: На фронті, в бою: Урив, з кн. «Потоки сил», № 16"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1933
,1933,"Сорока Олекс: Весна: [Вірш], № 8/9"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1929
,1929,"Сорока Олекс: Одеса: [Вірш], № 17"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Сосюра, Володимир: Іду: [Вірш], № 10"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Сосюра, Володимир: «Коли потяг у даль загуркоче...»: [Поезія], № 17"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Сосюра, Володимир: «Лан і луни...»: [Поезії], № 09"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Сосюра, Володимир: «Ну, прощай. Я тобі тільки жінка»...»: [Поезія], № 02"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1930
,1930,"Сосюра, Володимир: Смерть: [Вірш], № 12"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1925
,1925,"Сосюра, Володимир: Тарас Трясило: (Урив, з роману): [Поезія], № 05"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1925
,1925,"Сосюра, Володимир: Траурний марш: [Вірш], № 02"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1931
,1931,"Станков М. article Орден Леніна: Оповідання: -, № 11/12"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1931
,1931,"Степанів Дан. article Листи до коногона: (Пісня): [Вірш]: -, № 5/6"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1929
,1929,"Стороженко О. article Ярчук: Оповідання: -, № 03"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1929
,1929,"Стрепет, Василь. article Автодор: (Агітплакат): [Вірш]: -, № 06"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1930
,1930,"Стрепет, Василь. article Автодор: (Агітплакат): [Вірш]: В радгоспі: [Вірш], № 13"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1929
,1929,"Стрепет, Василь. article Автодор: (Агітплакат): [Вірш]: Вантажники: [Вірш], № 40"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1930
,1930,"Стрепет, Василь. article Автодор: (Агітплакат): [Вірш]: Сіють: [Вірш], № 12"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1930
,1930,"Тардов М. article Різки: Оповідання: -, № 31/32"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1925
,1925,"Тарновський, Микола: Очі. (Из цикла «Жіноча доля»): [Вірш], № 05"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1925
,1925,"Тась, Дмитро: Ганка: Оповідання, № 05"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Тась, Дмитро: Тенета: Оповідання, № 04"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Терещенко, Микола: Чайка: [Вірш], № 19"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1926
,1926,"Тесленко, Архип: Свій брат: Оповідання, № 12"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1929
,1929,"Тирса, Дмитро: Весніє вітер: [Вірш], № 16"
,1970 - 1980,Ukraine. Literature in Ukranian
,1970 - 1980,Ukranian
,1970 - 1980,1978
,1978,"Тичина, Павло & Бажан: Гімн Української РСР, № 05"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1930
,1930,"Ткаченко В: Останній клин: Оповідання, № 30"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1932
,1932,"Ткаченко Ів: Героїка буднів: [Вірш], № 14/15"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1932
,1932,"Ткачук І: Прострілений декрет: Оповідання, № 31/33"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1932
,1932,"Топчій Ів: Проби: Оповідання, № 09"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1934
,1934,"Троцький А: Перший день: Новела, № 05"
,1920 - 1930,Ukraine. Literature in Ukranian
,1920 - 1930,Ukranian
,1920 - 1930,1929
,1929,"Троянкер, Раїса: «Кожен сонце прийма по свойому...»: [Поезії], № 16"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1933
,1933,"Трублаїні Мик: Баран, баран буц!: Оповідання, № 10/11"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1934
,1934,"Усенко, Павло: Зустріч: [Вірш], № 18"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1934
,1934,"Усенко, Павло: На кордоні: [Вірш], № 04"
,1930 - 1940,Ukraine. Literature in Ukranian
,1930 - 1940,Ukranian
,1930 - 1940,1933
