id,source,link
21201,1960 - 1970,-
21202,1960 - 1970,1964
21203,1964,"Завада, Вілем: А все ж таки: [Вірш], № 02"
21204,1970 - 1980,Czech Republic
21205,1970 - 1980,Czech
21206,1970 - 1980,1975
21207,1975,"Завада, Вілем: [Поезії], № 07"
21208,1960 - 1970,Czech Republic
21209,1960 - 1970,-
21210,1960 - 1970,1968
21211,1968,"Звандрлік, Мирослав: Клопіт з третьою дружиною: Оповідання, № 02"
21212,1980 - 1990,Czech Republic
21213,1980 - 1990,Czech
21214,1980 - 1990,1984
21215,1984,"Кадлец, Йозеф: Грав роман: Оповідання, № 04"
21216,1970 - 1980,Czech Republic
21217,1970 - 1980,Czech
21218,1970 - 1980,1975
21219,1975,"Кадлец, Йозеф: Світ, сповнений надії: Розд. з роману, № 05"
21220,1980 - 1990,Czech Republic
21221,1980 - 1990,Czech
21222,1980 - 1990,1986
21223,1986,"Кайдош, Вацлав: Курупіру: Оповідання, № 01"
21224,1970 - 1980,Czech Republic
21225,1970 - 1980,Czech
21226,1970 - 1980,1973
21227,1973,"Клевіс, Владімір: Іще б разочок: Оповідання, № 05"
21228,1960 - 1970,Czech Republic
21229,1960 - 1970,Czech
21230,1960 - 1970,1964
21231,1964,"Кліма, Іван: Година мовчання: Роман, № 10"
21232,1960 - 1970,Czech Republic
21233,1960 - 1970,Czech
21234,1960 - 1970,1964
21235,1964,"Кліма, Іван: Година мовчання: Роман, № 11"
21236,1990 - 2000,Czech Republic
21237,1990 - 2000,Czech
21238,1990 - 2000,1994
21239,1994,"Коваль, Лібор: [Поезії], № 03"
21240,1980 - 1990,Czech Republic
21241,1980 - 1990,Czech
21242,1980 - 1990,1985
21243,1985,"Козак, Ян: Адам і Єва: Роман, № 01"
21244,1980 - 1990,Czech Republic
21245,1980 - 1990,Czech
21246,1980 - 1990,1985
21247,1985,"Козак, Ян: Адам і Єва: Роман, № 02"
21248,1970 - 1980,Czech Republic
21249,1970 - 1980,Czech
21250,1970 - 1980,1977
21251,1977,"Козак, Ян: Лелече гніздо: Роман, № 08"
21252,1970 - 1980,Czech Republic
21253,1970 - 1980,Czech
21254,1970 - 1980,1977
21255,1977,"Козак, Ян: Лелече гніздо: Роман, № 09"
21256,1970 - 1980,Czech Republic
21257,1970 - 1980,Czech
21258,1970 - 1980,1977
21259,1977,"Козак, Ян: Лелече гніздо: Роман, № 10"
21260,1990 - 2000,Czech Republic
21261,1990 - 2000,Czech
21262,1990 - 2000,1990
21263,1990,"Коларова, Яроміра: Дівчина: Оповідання, № 01"
21264,1980 - 1990,Czech Republic
21265,1980 - 1990,Czech
21266,1980 - 1990,1987
21267,1987,"Корчак, Владімір: Космічний корабель: [Вірш], № 12"
21268,1980 - 1990,Czech Republic
21269,1980 - 1990,Czech
21270,1980 - 1990,1986
21271,1986,"Кршенек, Іржі: Рівняння Максвелла: Фантаст, оповід, № 09"
21272,1970 - 1980,Czech Republic
21273,1970 - 1980,Czech
21274,1970 - 1980,1970
21275,1970,"Кубка, Франтішек: Дзвоники, № 05"
21276,1970 - 1980,Czech Republic
21277,1970 - 1980,Czech
21278,1970 - 1980,1970
21279,1970,"Кубка, Франтішек: Конвалії, № 05"
21280,1970 - 1980,Czech Republic
21281,1970 - 1980,Czech
21282,1970 - 1980,1970
21283,1970,"Кубка, Франтішек: Чеканка: Оповідання, № 05"
21284,1990 - 2000,Czech Republic
21285,1990 - 2000,Czech
21286,1990 - 2000,2000
21287,2000,"Куцдера, Мілан: Квазіавтостоп: Оповідання, № 1/2"
21288,1990 - 2000,Czech Republic
21289,1990 - 2000,Czech
21290,1990 - 2000,1994
21291,1994,"Куцдера, Мілан: Нестерпна легкість буття: Роман, № 8,9"
21292,1960 - 1970,Czech Republic
21293,1960 - 1970,Czech
21294,1960 - 1970,1966
21295,1966,"Куцдера, Мілан: Ніхто не буде сміятись: Оповідання, № 04"
21296,1960 - 1970,Czech Republic
21297,1960 - 1970,Czech
21298,1960 - 1970,1966
21299,1966,"Куцдера, Мілан: [Поезії], № 05"
21300,1990 - 2000,Czech Republic
21301,1990 - 2000,Czech
21302,1990 - 2000,1999
21303,1999,"Лауб, Габріель: Досвіди: [Афоризми], № 01"
21304,1960 - 1970,Czech Republic
21305,1960 - 1970,-
21306,1960 - 1970,1969
21307,1969,"Лацина, Вацлав: [Поезії], № 11"
21308,1960 - 1970,Czech Republic
21309,1960 - 1970,Czech
21310,1960 - 1970,1963
21311,1963,"Лисогорський, Ондра: Нені, № 09"
21312,1960 - 1970,Czech Republic
21313,1960 - 1970,Czech
21314,1960 - 1970,1963
21315,1963,"Лисогорський, Ондра: Україна: [Вірші], № 09"
21316,1970 - 1980,Czech Republic
21317,1970 - 1980,Czech
21318,1970 - 1980,1973
21319,1973,"Марек, Їржі: Глибокий котлован: Оповідання, № 05"
21320,1960 - 1970,Czech Republic
21321,1960 - 1970,Czech
21322,1960 - 1970,1965
21323,1965,"Марек, Їржі: За тобою тінь: Роман, № 08"
21324,1980 - 1990,Czech Republic
21325,1980 - 1990,Czech
21326,1980 - 1990,1987
21327,1987,"Маржик, Каміл: Фестивальна листівка: [Вірш], № 12"
21328,1990 - 2000,Czech Republic
21329,1990 - 2000,Czech
21330,1990 - 2000,1990
21331,1990,"Мартін, Едуард: Гейша: Оповідання, № 11"
21332,1980 - 1990,Czech Republic
21333,1980 - 1990,Czech
21334,1980 - 1990,1989
21335,1989,"Мартін, Едуард: Похоронне бюро суперобслуговування: Оповідання, № 06"
21336,1980 - 1990,Czech Republic
21337,1980 - 1990,Czech
21338,1980 - 1990,1983
21339,1983,"Матейка, Ярослав: Куди ви йдете, співвітчизники?: Роман, № 09"
21340,1980 - 1990,Czech Republic
21341,1980 - 1990,Czech
21342,1980 - 1990,1983
21343,1983,"Матейка, Ярослав: Куди ви йдете, співвітчизники?: Роман, № 10"
21344,1990 - 2000,Czech Republic
21345,1990 - 2000,Czech
21346,1990 - 2000,2000
21347,2000,"Махар, Йозеф Сватоплук: Перегортаючи сторінки нашої історії: [Вірш], № 3/4"
21348,1990 - 2000,Czech Republic
21349,1990 - 2000,Czech
21350,1990 - 2000,1991
21351,1991,"Мацоурек, Мілош: З книги «Зоологія»: Пінгвін, № 06"
21352,1990 - 2000,Czech Republic
21353,1990 - 2000,Czech
21354,1990 - 2000,1991
21355,1991,"Мацоурек, Мілош: Яйце, № 06"
21356,1990 - 2000,Czech Republic
21357,1990 - 2000,Czech
21358,1990 - 2000,1991
21359,1991,"Мацоурек, Мілош: Гусінь, № 06"
21360,1990 - 2000,Czech Republic
21361,1990 - 2000,Czech
21362,1990 - 2000,1991
21363,1991,"Мацоурек, Мілош: Шовкопряд, № 06"
21364,1990 - 2000,Czech Republic
21365,1990 - 2000,Czech
21366,1990 - 2000,1991
21367,1991,"Мацоурек, Мілош: Зебра: Гуморески, № 06"
21368,1990 - 2000,Czech Republic
21369,1990 - 2000,Czech
21370,1990 - 2000,1999
21371,1999,"Маха, Карел Гінек: Май: (Уривок), № 04"
21372,1960 - 1970,Czech Republic
21373,1960 - 1970,Czech
21374,1960 - 1970,1961
21375,1961,"Маха, Карел Гінек: «Марно галасуєте ви знову...», № 01"
21376,1960 - 1970,Czech Republic
21377,1960 - 1970,Czech
21378,1960 - 1970,1961
21379,1961,"Маха, Карел Гінек: Подорожній: [Вірші], № 01"
21380,1960 - 1970,Czech Republic
21381,1960 - 1970,Czech
21382,1960 - 1970,1964
21383,1964,"Незвал, Вітезслав: Едісон: Поема, № 03"
21384,1970 - 1980,Czech Republic
21385,1970 - 1980,Czech
21386,1970 - 1980,1972
21387,1972,"Незвал, Вітезслав: Елегія, № 11"
21388,1970 - 1980,Czech Republic
21389,1970 - 1980,Czech
21390,1970 - 1980,1972
21391,1972,"Незвал, Вітезслав: Від міста п’ять хвилин: [Поезії], № 11"
21392,1970 - 1980,Czech Republic
21393,1970 - 1980,-
21394,1970 - 1980,1975
21395,1975,"Незвал, Вітезслав: Написи в залі Червоної Армії: [Вірш], № 05"
21396,1950 - 1960,Czech Republic
21397,1950 - 1960,-
21398,1950 - 1960,1958
21399,1958,"Незвал, Вітезслав: [Поезії], № 02"
21400,1980 - 1990,Czech Republic
21401,1980 - 1990,Czech
21402,1980 - 1990,1980
21403,1980,"Незвал, Вітезслав: [Поезії], № 07"
21404,1960 - 1970,Czech Republic
21405,1960 - 1970,Czech
21406,1960 - 1970,1964
21407,1964,"Нейман, Станіслав Костка: Подяка Радянському Союзу: [Вірш], № 05"
21408,1960 - 1970,Czech Republic
21409,1960 - 1970,Czech
21410,1960 - 1970,1962
21411,1962,"Несвадба, Йозеф: Палац Діоклетіана, № 12"
21412,1960 - 1970,Czech Republic
21413,1960 - 1970,Czech
21414,1960 - 1970,1962
21415,1962,"Несвадба, Йозеф: Вредний хлопець: Оповідання, № 12"
21416,1980 - 1990,Czech Republic
21417,1980 - 1990,Czech
21418,1980 - 1990,1987
21419,1987,"Нефф, Владімір: Прекрасна чаклунка: Роман, № 10"
21420,1980 - 1990,Czech Republic
21421,1980 - 1990,Czech
21422,1980 - 1990,1987
21423,1987,"Нефф, Владімір: Прекрасна чаклунка: Роман, № 11"
21424,1980 - 1990,Czech Republic
21425,1980 - 1990,Czech
21426,1980 - 1990,1987
21427,1987,"Нефф, Владімір: Прекрасна чаклунка: Роман, № 12"
21428,1980 - 1990,Czech Republic
21429,1980 - 1990,Czech
21430,1980 - 1990,1984
21431,1984,"Оутрата, Карел: Кантата мирові: [Поезія], № 04"
21432,1980 - 1990,Czech Republic
21433,1980 - 1990,Czech
21434,1980 - 1990,1988
21435,1988,"Парал, Владімір: Війна з багатоликим звіром: Роман, № 08"
21436,1980 - 1990,Czech Republic
21437,1980 - 1990,Czech
21438,1980 - 1990,1988
21439,1988,"Парал, Владімір: Війна з багатоликим звіром: Роман, № 09"
21440,1980 - 1990,Czech Republic
21441,1980 - 1990,Czech
21442,1980 - 1990,1988
21443,1988,"Парал, Владімір: Війна з багатоликим звіром: Роман, № 10"
21444,1980 - 1990,Czech Republic
21445,1980 - 1990,Czech
21446,1980 - 1990,1987
21447,1987,"Пелц, Яромір: Врешті-решт, № 12"
21448,1980 - 1990,Czech Republic
21449,1980 - 1990,Czech
21450,1980 - 1990,1987
21451,1987,"Пелц, Яромір: Рахунок: [Вірші], № 12"
21452,1980 - 1990,Czech Republic
21453,1980 - 1990,Czech
21454,1980 - 1990,1984
21455,1984,"Петішка, Едуард: Блакитна троянда: Оповідання, № 08"
21456,1970 - 1980,Czech Republic
21457,1970 - 1980,Czech
21458,1970 - 1980,1976
21459,1976,"Петішка, Едуард: Таємниця, № 05"
21460,1970 - 1980,Czech Republic
21461,1970 - 1980,Czech
21462,1970 - 1980,1976
21463,1976,"Петішка, Едуард: Бажання, № 05"
21464,1970 - 1980,Czech Republic
21465,1970 - 1980,Czech
21466,1970 - 1980,1976
21467,1976,"Петішка, Едуард: Псіхея, № 05"
21468,1970 - 1980,Czech Republic
21469,1970 - 1980,Czech
21470,1970 - 1980,1976
21471,1976,"Петішка, Едуард: Щастя, № 05"
21472,1970 - 1980,Czech Republic
21473,1970 - 1980,Czech
21474,1970 - 1980,1976
21475,1976,"Петішка, Едуард: Лист, № 05"
21476,1970 - 1980,Czech Republic
21477,1970 - 1980,Czech
21478,1970 - 1980,1976
21479,1976,"Петішка, Едуард: Годинник, № 05"
21480,1970 - 1980,Czech Republic
21481,1970 - 1980,Czech
21482,1970 - 1980,1976
21483,1976,"Петішка, Едуард: Вірність, № 05"
21484,1970 - 1980,Czech Republic
21485,1970 - 1980,Czech
21486,1970 - 1980,1976
21487,1976,"Петішка, Едуард: Осінь, № 05"
21488,1970 - 1980,Czech Republic
21489,1970 - 1980,Czech
21490,1970 - 1980,1976
21491,1976,"Петішка, Едуард: Міст, № 05"
21492,1970 - 1980,Czech Republic
21493,1970 - 1980,Czech
21494,1970 - 1980,1976
21495,1976,"Петішка, Едуард: Фі-лемон: Оповід. з кн. «Шлюбні ночі», № 05"
21496,1970 - 1980,Czech Republic
21497,1970 - 1980,Czech
21498,1970 - 1980,1973
21499,1973,"Піларж, Ян: Дівчині-сержанту Ніні Семе-новій: [Вірш], № 11"
21500,1960 - 1970,Czech Republic
21501,1960 - 1970,-
21502,1960 - 1970,1961
21503,1961,"Піларж, Ян: Ікар нової доби: [Вірш], № 05"
21504,1960 - 1970,Czech Republic
21505,1960 - 1970,Czech
21506,1960 - 1970,1961
21507,1961,"Піларж, Ян: Людські руки: [Вірш], № 08"
21508,1960 - 1970,Czech Republic
21509,1960 - 1970,-
21510,1960 - 1970,1964
21511,1964,"Піларж, Ян: Радянській країні: [Вірш], № 02"
21512,1980 - 1990,Czech Republic
21513,1980 - 1990,Czech
21514,1980 - 1990,1982
21515,1982,"Піларж, Ян: Україна: [Вірш], № 12"
21516,1980 - 1990,Czech Republic
21517,1980 - 1990,Czech
21518,1980 - 1990,1981
21519,1981,"Плугарж, Зденек [3денєк]: Бар «Загублений якір»: Роман, № 02"
21520,1980 - 1990,Czech Republic
21521,1980 - 1990,Czech
21522,1980 - 1990,1981
21523,1981,"Плугарж, Зденек [3денєк]: Бар «Загублений якір»: Роман, № 03"
21524,1980 - 1990,Czech Republic
21525,1980 - 1990,Czech
21526,1980 - 1990,1981
21527,1981,"Плугарж, Зденек [3денєк]: Бар «Загублений якір»: Роман, № 04"
21528,1980 - 1990,Czech Republic
21529,1980 - 1990,Czech
21530,1980 - 1990,1986
21531,1986,"Плугарж, Зденек [3денєк]: О шостій вечора в «Асторії»: Роман, № 10"
21532,1980 - 1990,Czech Republic
21533,1980 - 1990,Czech
21534,1980 - 1990,1986
21535,1986,"Плугарж, Зденек [3денєк]: О шостій вечора в «Асторії»: Роман, № 11"
21536,1970 - 1980,Czech Republic
21537,1970 - 1980,Czech
21538,1970 - 1980,1975
21539,1975,"Плугарж, Зденек [3денєк]: Скляна дама: Роман, № 11"
21540,1970 - 1980,Czech Republic
21541,1970 - 1980,Czech
21542,1970 - 1980,1975
21543,1975,"Плугарж, Зденек [3денєк]: Скляна дама: Роман, № 12"
21544,1960 - 1970,Czech Republic
21545,1960 - 1970,Czech
21546,1960 - 1970,1966
21547,1966,"Плугарж, Зденек [3денєк]: Успіх: Роман, № 11"
21548,1960 - 1970,Czech Republic
21549,1960 - 1970,Czech
21550,1960 - 1970,1966
21551,1966,"Плугарж, Зденек [3денєк]: Успіх: Роман, № 12"
21552,1970 - 1980,Czech Republic
21553,1970 - 1980,Czech
21554,1970 - 1980,1975
21555,1975,"Плудек, Алексей: Ва-банк: Роман, № 03"
21556,1970 - 1980,Czech Republic
21557,1970 - 1980,Czech
21558,1970 - 1980,1975
21559,1975,"Плудек, Алексей: Ва-банк: Роман, № 04"
21560,1960 - 1970,Czech Republic
21561,1960 - 1970,Czech
21562,1960 - 1970,1960
21563,1960,"Полах, Богумир: Повернення Іржі Скали: Роман, № 07"
21564,1960 - 1970,Czech Republic
21565,1960 - 1970,Czech
21566,1960 - 1970,1960
21567,1960,"Полах, Богумир: Повернення Іржі Скали: Роман, № 08"
21568,1960 - 1970,Czech Republic
21569,1960 - 1970,Czech
21570,1960 - 1970,1963
21571,1963,"Прохазка, Ян: Замет: Повість, № 04"
21572,1980 - 1990,Czech Republic
21573,1980 - 1990,Czech
21574,1980 - 1990,1987
21575,1987,"Прохазкова, Маркета: Подай мені руку: [Вірш], № 12"
21576,1980 - 1990,Czech Republic
21577,1980 - 1990,Czech
21578,1980 - 1990,1982
21579,1982,"Рафай, Мірослав: Народна балада, № 06"
21580,1980 - 1990,Czech Republic
21581,1980 - 1990,Czech
21582,1980 - 1990,1982
21583,1982,"Рафай, Мірослав: Просто жити, № 06"
21584,1980 - 1990,Czech Republic
21585,1980 - 1990,Czech
21586,1980 - 1990,1982
21587,1982,"Рафай, Мірослав: Вслухайся у вечір: Оповідання, № 06"
21588,1980 - 1990,Czech Republic
21589,1980 - 1990,Czech
21590,1980 - 1990,1984
21591,1984,"Рафай, Мірослав: Освітлені вікна: Оповідання, № 04"
21592,1970 - 1980,Czech Republic
21593,1970 - 1980,Czech
21594,1970 - 1980,1976
21595,1976,"Ржіга, Богумил: Доктор Мелузін: Роман, № 10"
21596,1970 - 1980,Czech Republic
21597,1970 - 1980,Czech
21598,1970 - 1980,1979
21599,1979,"Рибак, Йозеф: [Поезії], № 09"
21600,1990 - 2000,Czech Republic
21601,1990 - 2000,Czech
21602,1990 - 2000,1997
21603,1997,"Ротрекл, Зденек: [Поезії], № 8/9"
21604,1960 - 1970,Czech Republic
21605,1960 - 1970,Czech
21606,1960 - 1970,1960
21607,1960,"Свата, Ярмила: П’ять днів: Повість, № 05"
21608,1960 - 1970,Czech Republic
21609,1960 - 1970,Czech
21610,1960 - 1970,1969
21611,1969,"Сватоплук, Турек: Шведський мармур: Повість, № 05"
21612,1980 - 1990,Czech Republic
21613,1980 - 1990,Czech
21614,1980 - 1990,1987
21615,1987,"Сис, Карел: Лореляй 1944-го, № 12"
21616,1980 - 1990,Czech Republic
21617,1980 - 1990,Czech
21618,1980 - 1990,1987
21619,1987,"Сис, Карел: Чоловік з крилами: [Вірші], № 12"
21620,1960 - 1970,Czech Republic
21621,1960 - 1970,-
21622,1960 - 1970,1964
21623,1964,"Скала, Іван: Відвідини озера Розлив: [Вірш], № 02"
21624,1970 - 1980,Czech Republic
21625,1970 - 1980,Czech
21626,1970 - 1980,1977
21627,1977,"Скала, Іван: Ода: [Вірш], № 11"
21628,1970 - 1980,Czech Republic
21629,1970 - 1980,Czech
21630,1970 - 1980,1972
21631,1972,"Скала, Іван: [Поезії], № 10"
21632,1970 - 1980,Czech Republic
21633,1970 - 1980,Czech
21634,1970 - 1980,1978
21635,1978,"Скала, Іван: [Поезії], № 07"
21636,1920 - 1930,Czech Republic
21637,1920 - 1930,Czech
21638,1920 - 1930,1928
21639,1928,"Скружний, Йосип: Пригода в кіно: Оповідання, № 04"
21640,1950 - 1960,Czech Republic
21641,1950 - 1960,Czech
21642,1950 - 1960,1959
21643,1959,"Слаби, Зденєк: Про те, як у Ондржея наїжачилось волосся від страху, і про те, як він потім перестав плакати...: Оповідання, № 03"
21644,1960 - 1970,Czech Republic
21645,1960 - 1970,-
21646,1960 - 1970,1964
21647,1964,"Сладек, Йозеф Вацлав: Циклоп: [Вірш], № 02"
21648,1960 - 1970,Czech Republic
21649,1960 - 1970,Czech
21650,1960 - 1970,1961
21651,1961,"Сметанова, Їндржішка: Дощ, № 07"
21652,1960 - 1970,Czech Republic
21653,1960 - 1970,Czech
21654,1960 - 1970,1961
21655,1961,"Сметанова, Їндржішка: Тичка: Оповідання, № 07"
21656,1960 - 1970,Czech Republic
21657,1960 - 1970,Czech
21658,1960 - 1970,1963
21659,1963,"Стеглік, Ладіслав: Зоряна ніч: [Вірш], № 10"
21660,1960 - 1970,Czech Republic
21661,1960 - 1970,-
21662,1960 - 1970,1968
21663,1968,"Сухий, Ї’ржі: Чому кенгуру ще й досі в зоопарку: Оповідання, № 02"
21664,1970 - 1980,Czech Republic
21665,1970 - 1980,Czech
21666,1970 - 1980,1979
21667,1979,"Тауфер, Ї’ржі: Азов: Поема, № 09"
21668,1970 - 1980,Czech Republic
21669,1970 - 1980,Czech
21670,1970 - 1980,1976
21671,1976,"Тауфер, Ї’ржі: Героїка: Поема, № 12"
21672,1970 - 1980,Czech Republic
21673,1970 - 1980,Czech
21674,1970 - 1980,1979
21675,1979,"Томан Йозеф & Томанова Мирослава: Сократ: Роман, № 04"
21676,1970 - 1980,Czech Republic
21677,1970 - 1980,Czech
21678,1970 - 1980,1979
21679,1979,"Томан Йозеф & Томанова Мирослава: Сократ: Роман, № 05"
21680,1970 - 1980,Czech Republic
21681,1970 - 1980,Czech
21682,1970 - 1980,1972
21683,1972,"Томанова, Мирослава: Срібна рівнина: Роман, № 03"
21684,1970 - 1980,Czech Republic
21685,1970 - 1980,Czech
21686,1970 - 1980,1972
21687,1972,"Томанова, Мирослава: Срібна рівнина: Роман, № 04"
21688,1970 - 1980,Czech Republic
21689,1970 - 1980,Czech
21690,1970 - 1980,1972
21691,1972,"Томанова, Мирослава: Срібна рівнина: Роман, № 05"
21692,1970 - 1980,Czech Republic
21693,1970 - 1980,Czech
21694,1970 - 1980,1973
21695,1973,"Томечек, Яромір: Риба і зірка: Оповідання, № 05"
21696,1960 - 1970,Czech Republic
21697,1960 - 1970,-
21698,1960 - 1970,1964
21699,1964,"Теєр О: Серце моє: [Вірш], № 02"
21700,1960 - 1970,Czech Republic
21701,1960 - 1970,-
21702,1960 - 1970,1964
21703,1964,"Флоріан, Мирослав: Простий мотив: [Вірш], № 02"
21704,1960 - 1970,Czech Republic
21705,1960 - 1970,-
21706,1960 - 1970,1962
21707,1962,"Фрид, Норберт: Ідеалістична казка або: до яких випадків іноді призводить технічний прогрес: [Гумореска], № 04"
21708,1970 - 1980,Czech Republic
21709,1970 - 1980,Czech
21710,1970 - 1980,1978
21711,1978,"Чапек, Йозеф: Афоризми, № 12"
21712,1950 - 1960,Czech Republic
21713,1950 - 1960,Czech
21714,1950 - 1960,1959
21715,1959,"Чапек, Карел: Голка, № 01"
21716,1950 - 1960,Czech Republic
21717,1950 - 1960,Czech
21718,1950 - 1960,1959
21719,1959,"Чапек, Карел: Колекція марок: Оповідання, № 01"
21720,1980 - 1990,Czech Republic
21721,1980 - 1990,Czech
21722,1980 - 1990,1987
21723,1987,"Чейка, Ярослав: Донесення про стан планети: [Вірш], № 12"
21724,1960 - 1970,Czech Republic
21725,1960 - 1970,-
21726,1960 - 1970,1964
21727,1964,"Чернік, Арношт: Ракета на Місяць, № 08"
21728,1960 - 1970,Czech Republic
21729,1960 - 1970,-
21730,1960 - 1970,1964
21731,1964,"Чернік, Арношт: Анкета: Гуморески, № 08"
21732,1980 - 1990,Czech Republic
21733,1980 - 1990,Czech
21734,1980 - 1990,1987
21735,1987,"Чернік, Міхал: Прості рядки, № 12"
21736,1980 - 1990,Czech Republic
21737,1980 - 1990,Czech
21738,1980 - 1990,1987
21739,1987,"Чернік, Міхал: Рівновага сил: [Вірші], № 12"
21740,1970 - 1980,Czech Republic
21741,1970 - 1980,Czech
21742,1970 - 1980,1979
21743,1979,"Шайнер, Донат: [Поезії], № 09"
21744,1990 - 2000,Czech Republic
21745,1990 - 2000,Czech
21746,1990 - 2000,1998
21747,1998,"Шафарик, Павел Йозеф: [Поезії], № 04"
21748,1960 - 1970,Czech Republic
21749,1960 - 1970,Czech
21750,1960 - 1970,1964
21751,1964,"Швандрлік, Мірослав: Перевірка квитків: Гумор, оповідання, № 02"
21752,1960 - 1970,Czech Republic
21753,1960 - 1970,Czech
21754,1960 - 1970,1968
21755,1968,"Шотола, Їржі: Асфальтники, № 04"
21756,1960 - 1970,Czech Republic
21757,1960 - 1970,Czech
21758,1960 - 1970,1968
21759,1968,"Шотола, Їржі: Розмови про кохання: [Поезії], № 04"
21760,1960 - 1970,Czech Republic
21761,1960 - 1970,-
21762,1960 - 1970,1964
21763,1964,"Шрамек, Франек [Франя]: Рапорт: [Вірш], № 02"
21764,1980 - 1990,Czech Republic
21765,1980 - 1990,Czech
21766,1980 - 1990,1987
21767,1987,"Штемберкова, Марія: Запрошення до мандрівки: [Вірш], № 12"
21768,1960 - 1970,Czech Republic
21769,1960 - 1970,Czech
21770,1960 - 1970,1965
21771,1965,"Штука, Іво: На порозі рідного краю: Повість, № 12"
21772,1980 - 1990,Chile
21773,1980 - 1990,Spanish
21774,1980 - 1990,1981
21775,1981,"Алегрія, Фернандо: Заспіваймо пісню, мамо, № 06"
21776,1980 - 1990,Chile
21777,1980 - 1990,Spanish
21778,1980 - 1990,1981
21779,1981,"Алегрія, Фернандо: Віктор Хара: [Вірші], № 06"
21780,1990 - 2000,Chile
21781,1990 - 2000,Spanish
21782,1990 - 2000,2000
21783,2000,"Альенде, Ісабель: Курандеро, № 9/10"
21784,1990 - 2000,Chile
21785,1990 - 2000,Spanish
21786,1990 - 2000,2000
21787,2000,"Альенде, Ісабель: Листи зрадженого кохання: Новели, № 9/10"
21788,1990 - 2000,Chile
21789,1990 - 2000,Spanish
21790,1990 - 2000,1994
21791,1994,"Альенде, Ісабель: Помста: Оповідання, № 01"
21792,1980 - 1990,Chile
21793,1980 - 1990,Spanish
21794,1980 - 1990,1981
21795,1981,"Армандо Еппле, Хуан: Футбольні новини: [Вірш], № 06"
21796,1980 - 1990,Chile
21797,1980 - 1990,Spanish
21798,1980 - 1990,1981
21799,1981,"Боланьо Роберто & Монтане Бруно: В селищі, № 06"
21800,1980 - 1990,Chile
21801,1980 - 1990,Spanish
21802,1980 - 1990,1981
21803,1981,"Боланьо Роберто & Монтане Бруно: Лист: [Вірші], № 06"
21804,1980 - 1990,Chile
21805,1980 - 1990,Spanish
21806,1980 - 1990,1981
21807,1981,"Дорфман, Аріель: Надія: [Вірш], № 06"
21808,1980 - 1990,Chile
21809,1980 - 1990,Spanish
21810,1980 - 1990,1987
21811,1987,"Кабесас, Мігель: Відплата: Оповідання, № 11"
21812,1980 - 1990,Chile
21813,1980 - 1990,Spanish
21814,1980 - 1990,1986
21815,1986,"Карвахаль Барріос, Леонардо: Перешкода, № 02"
21816,1980 - 1990,Chile
21817,1980 - 1990,Spanish
21818,1980 - 1990,1986
21819,1986,"Карвахаль Барріос, Леонардо: У темряві: Оповідання, № 02"
21820,1970 - 1980,Chile
21821,1970 - 1980,Spanish
21822,1970 - 1980,1976
21823,1976,"Карвахаль Барріос, Леонардо: Розшуки: Новела, № 02"
21824,1970 - 1980,Chile
21825,1970 - 1980,Spanish
21826,1970 - 1980,1976
21827,1976,"Колоане, Франсіско: Курка, яка несла чарівні яйця: Новела, № 02"
21828,1980 - 1990,Chile
21829,1980 - 1990,Spanish
21830,1980 - 1990,1981
21831,1981,"Лара, Омар: Вшанування Альенде, № 06"
21832,1980 - 1990,Chile
21833,1980 - 1990,Spanish
21834,1980 - 1990,1981
21835,1981,"Лара, Омар: Запитує дитина, що народилась на чужині: [Вірші], № 06"
21836,1980 - 1990,Chile
21837,1980 - 1990,Spanish
21838,1980 - 1990,1981
21839,1981,"Лара, Омар: Ленін говорив зі мною...: Урив, з поеми, № 11"
21840,1980 - 1990,Chile
21841,1980 - 1990,Spanish
21842,1980 - 1990,1981
21843,1981,"Мільян, Гонсало: Пошта, № 06"
21844,1980 - 1990,Chile
21845,1980 - 1990,Spanish
21846,1980 - 1990,1981
21847,1981,"Мільян, Гонсало: В’язниця: [Вірші], № 06"
21848,1980 - 1990,Chile
21849,1980 - 1990,Spanish
21850,1980 - 1990,1981
21851,1981,"Місіас, Серхіо: Дбайливиця світу: [Вірш], № 06"
21852,1980 - 1990,Chile
21853,1980 - 1990,Spanish
21854,1980 - 1990,1981
21855,1981,"Невідомий автор: Вустами немовляти: [Вірш], № 06"
21856,1970 - 1980,Chile
21857,1970 - 1980,Spanish
21858,1970 - 1980,1974
21859,1974,"Неруда, Пабло: Верхи Мачу-Пікчу: [Фрагм. з вірша], № 07"
21860,1970 - 1980,Chile
21861,1970 - 1980,Spanish
21862,1970 - 1980,1972
21863,1972,"Неруда, Пабло: [Поезії], № 11"
21864,1970 - 1980,Chile
21865,1970 - 1980,Spanish
21866,1970 - 1980,1974
21867,1974,"Неруда, Пабло: [Поезії], № 07"
21868,1970 - 1980,Chile
21869,1970 - 1980,Spanish
21870,1970 - 1980,1975
21871,1975,"Неруда, Пабло: [Поезії], № 07"
21872,1970 - 1980,Chile
21873,1970 - 1980,Spanish
21874,1970 - 1980,1977
21875,1977,"Неруда, Пабло: [Поезії], № 12"
21876,1970 - 1980,Chile
21877,1970 - 1980,Spanish
21878,1970 - 1980,1979
21879,1979,"Неруда, Пабло: [Поезії], № 07"
21880,1980 - 1990,Chile
